city,mhhi,revtotal,exputility,expdebtservice,exptransportation,expgov,exppubsafety,expother,exptotal,pcrevtotal,pcexputility,pcexpdebt,pcexptransportation,pcexpgov,pcexppubsafety,pcexpother,pcexptotal,citypop,latitude,longitude,pop11,pop12,tarea,popden10,mhhi12,poverty12,hs12,crinc11,crinc12,mage12
SARATOGA,50750,1169201,888573,0,1226,87292,7000,129619,1113710,2866,2178,0,3,214,17,318,2730,408,35.653629,-77.776489,461,424,0.64,635.799988,34886,21,74.599998,,,32.700001
SAWMILLS,41713,2707447,478103,75950,528960,824531,0,364249,2271793,518,91,15,101,158,0,70,435,5227,35.818562,-81.479881,5211,5200,6.62,791.799988,40345,19.299999,71.300003,,,39.200001
SCOTLAND NECK,22203,7238615,5486124,68081,601328,343109,474989,286613,7260244,3528,2674,33,293,167,231,140,3538,2052,36.13044,-77.420959,2559,2276,1.19,1733.300049,21354,42.099998,62.599998,125,119,44.700001
SEABOARD,26625,690609,207162,28212,95369,169338,157969,0,658050,1109,333,45,153,272,254,0,1056,623,36.489491,-77.439247,926,836,0.96,656.299988,20750,31.700001,74.5,,,41.299999
SEAGROVE,34688,210430,0,0,15636,71993,112500,27736,227865,923,0,0,69,316,493,122,999,228,35.542171,-79.778107,176,194,1.04,220.100006,36875,17.1,77,,,49.5
SEDALIA,43409,184067,0,10665,13070,77734,1662,50730,153861,293,0,17,21,124,3,81,245,629,36.078411,-79.627441,671,717,2.09,298.399994,41875,6.3,82.5,,,46.200001
SELMA,22717,16014896,9938228,651500,637140,631712,2152127,1917960,15928667,2618,1624,106,104,103,352,313,2604,6118,35.53698,-78.284653,6111,6125,4.85,1252.800049,23183,43.900002,69.099998,479,466,33.400002
SEVEN DEVILS,63929,1435849,103848,165091,366577,362814,465702,2546,1466578,7401,535,851,1890,1870,2401,13,7560,194,36.151958,-81.807297,200,198,2.11,91.5,71250,5.6,98.199997,,,58.5
SEVEN SPRINGS,51250,178766,156858,3633,14910,29337,1718,4426,210882,1611,1413,33,134,264,15,40,1900,111,35.22625,-77.845757,123,89,0.33,328.899994,53750,23,85.699997,,,45.900002
SEVERN,36964,365664,142257,0,94276,107917,10409,0,354859,1339,521,0,345,395,38,0,1300,273,36.513168,-77.188782,312,263,1.01,273,31875,25.1,71.699997,,,58.400002
SHALLOTTE,46343,6936279,2343501,146623,400311,787979,2030584,104952,5813950,1833,619,39,106,208,536,28,1536,3785,33.977032,-78.392517,3523,3642,9.36,395.600006,44181,13,85.699997,229,193,40.799999
SHARPSBURG,29167,9914847,3216688,1096295,374655,213247,556776,2239600,7697261,4911,1593,543,186,106,276,1109,3812,2019,35.866341,-77.830963,2070,1974,1.01,1996.599976,28053,27.299999,82.300003,,,32.599998
SHELBY,33408,58454889,28718714,2185977,3310083,4467756,9512163,4224864,52419557,2873,1412,107,163,220,468,208,2576,20346,35.288269,-81.537788,20377,20331,21.110001,964.299988,31795,27.200001,85.199997,955,1043,40.799999
SILER CITY,33305,9013072,2991901,832892,1032879,751136,2192288,1100475,8901571,1135,377,105,130,95,276,139,1121,7939,35.726028,-79.462959,7869,7967,6.02,1314.199951,34673,16.299999,61,393,370,31.799999
SIMPSON,38516,280361,0,4753,14162,116733,63120,68094,266862,671,0,11,34,279,151,163,638,418,35.575211,-77.278519,344,373,0.37,1117,34861,15.8,71.900002,,,42.200001
SIMS,56143,246207,58542,0,11585,62440,1813,22593,156973,876,208,0,41,222,6,80,559,281,35.760029,-78.058777,432,296,0.17,1614.5,53250,16.6,87.099998,,,33.599998
SMITHFIELD,34781,46179156,22699367,2510717,2574473,1396292,4643568,4280490,38104907,4192,2061,228,234,127,422,389,3459,11016,35.509129,-78.346458,11018,11118,12.13,904.700012,30243,30.1,76.699997,921,864,42.799999
SNOW HILL,30724,2139152,774687,106177,352798,206361,204044,303373,1947440,1334,483,66,220,129,127,189,1215,1603,35.446609,-77.673233,2360,2263,1.55,1029.199951,27895,30.6,75.5,,,46.299999
SOUTHERN PINES,43650,21195384,7873036,1124079,1215914,3571957,5797096,3767466,23349548,1695,630,90,97,286,464,301,1868,12502,35.181889,-79.398277,12244,12439,16.82,741,45376,12,89,559,596,45.200001
SOUTHERN SHORES,77069,5784435,0,0,583208,1079691,1846625,1246307,4755831,2109,0,0,213,394,673,454,1734,2743,36.124451,-75.732613,2683,2707,4.15,687.5,79853,4,95.400002,69,80,53.799999
SPARTA,22778,2311159,944409,40021,56091,464764,472233,474289,2451807,1316,538,23,32,265,269,270,1396,1756,36.505638,-81.121719,1864,1953,2.41,738.099976,24808,28.4,73.5,51,,47.900002
SPEED,35417,27820,0,0,0,15387,0,6441,21828,348,0,0,0,192,0,81,273,80,35.969978,-77.444077,99,98,0.28,282.600006,38750,0,74.099998,,,54.400002
SPENCER,42819,2496242,0,265723,329489,292902,921235,456139,2265488,766,0,82,101,90,283,140,695,3258,35.693668,-80.431908,3292,3277,3.06,1066,37763,31.299999,78.199997,237,199,35.900002
SPINDALE,31189,3542773,660814,182374,235515,237931,1128115,601862,3046611,814,152,42,54,55,259,138,700,4350,35.358349,-81.92527,4294,4302,5.35,808.400024,27165,19.1,79.800003,,,37.799999
SPRING LAKE,34923,10148584,2631305,609330,491704,1445065,3375842,1872693,10425939,852,221,51,41,121,283,157,875,11914,35.177589,-78.975502,11943,12465,23.26,518.799988,35560,24.6,91.199997,627,,23.6
SPRUCE PINE,35714,5194306,1606249,56855,73740,712080,867453,90931,3407308,2382,736,26,34,326,398,42,1562,2181,35.913738,-82.07,2399,2424,3.98,546.700012,28906,25,77.900002,61,73,43.099998
STALEY,27500,118937,0,0,23389,30695,19068,52087,125239,299,0,0,59,77,48,131,315,398,35.794762,-79.551117,505,590,1.16,340,27361,36.299999,63.099998,,,29.299999
STALLINGS,78636,5779881,212827,844178,396646,849474,1826922,3220627,7350674,407,15,59,28,60,129,227,517,14207,35.089321,-80.686813,13177,13638,7.97,1748.800049,79304,5.4,92,252,215,40.799999
